gene_id,BonitaEye1,BonitaEye2,BonitaEye3,BonitaEye4,CuevaEye1,CuevaEye2,CuevaEye3,CuevaEye4,LunaEye1,LunaEye2,LunaEye3,LunaEye4,PSOEye1,PSOEye2,PSOEye3,PSOEye4
gene17103,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene17102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene17105,6,0,5,0,0,46,9,0,0,6,8,12,31,9,0,0
gene17104,22,0,6,9,6,30,0,6,19,0,63,0,33,13,0,0
gene17107,0,0,0,0,0,26,0,0,33,0,19,13,0,7,0,0
gene17106,54,0,20,0,95,160,17,15,168,0,146,74,128,61,5,0
gene17109,36,0,8,33,46,44,0,6,84,0,47,31,73,79,7,0
gene17108,0,0,0,0,0,0,0,0,0,0,4,0,0,4,0,0
gene16854,25,0,9,41,0,15,12,0,4,0,9,0,24,50,3,18
gene16855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene16856,0,0,0,0,0,7,0,0,14,0,8,0,0,3,0,0
gene16857,9,0,0,0,0,2,0,0,7,0,0,0,16,8,0,0
gene16850,7,0,0,0,5,25,12,0,13,0,26,3,0,6,12,0
gene16851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene16852,0,0,0,0,0,5,0,0,12,0,11,0,0,0,0,0
gene16853,46,0,23,0,11,299,31,0,179,0,110,77,38,41,11,0
gene16858,17,0,0,0,0,22,0,0,39,0,9,11,0,10,0,0
gene1576,0,0,6,0,0,0,0,0,14,0,9,0,0,0,0,0
gene406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene407,106,3,19,77,0,60,0,0,0,0,0,14,284,103,0,0
gene404,3,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0
gene405,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
gene402,3,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0
gene403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene400,8,0,0,0,0,0,0,0,0,0,11,0,0,3,0,0
gene401,0,0,0,0,0,0,0,0,9,0,4,0,0,0,0,0
gene31556,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene408,0,0,0,0,0,0,0,0,0,0,0,0,17,0,0,0
gene409,83,0,14,0,4,166,0,0,114,0,149,15,116,76,20,0
gene2759,0,0,0,0,0,0,0,0,8,0,17,0,0,0,0,0
gene2758,13,0,3,0,0,0,0,0,0,0,0,0,5,3,0,0
gene13374,55,0,19,0,21,98,0,0,61,0,44,15,53,44,0,0
gene13375,0,0,0,0,0,14,0,4,0,0,0,0,0,0,0,0
gene13372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene13373,3,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0
gene13370,0,0,0,0,0,0,0,0,12,0,19,0,0,0,0,3
gene13371,10,0,0,44,9,18,0,0,12,0,32,0,7,31,0,0
gene2751,13,0,0,0,0,22,0,0,13,0,0,0,0,4,0,0
gene2750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene2753,34,0,0,4,29,73,28,0,86,0,174,23,34,35,6,5
gene2752,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene2755,0,0,0,0,3,28,14,0,27,0,36,0,0,6,0,0
gene2754,5,0,0,0,0,0,0,0,37,0,5,0,14,10,0,0
gene2757,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,0
gene2756,12,0,0,0,0,41,14,4,52,9,80,7,74,31,12,0
gene6449,3,0,0,0,0,16,0,0,0,0,0,0,0,0,0,0
gene6448,11,0,0,0,0,11,0,0,9,0,6,0,24,15,0,0
gene6441,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0
gene6440,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene6443,0,0,0,0,0,0,0,0,0,0,27,0,0,3,0,0
gene6442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
gene6445,3,0,0,0,0,14,0,0,0,0,9,0,0,0,0,0
